,id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description
225,225,Sales Executive,Palembang,IDR,Supervisor/Koordinator,1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",16 days,201 - 500 pekerja,Perbankan/Pelayanan Keuangan,"Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan penjualan,pelanggan, pembayaran, inventori, keuangan, karyawan sampai dengan pembiayaan usaha. Saat ini majoo sedang mencari Sales Executive untuk ditempatkan di Palembang dengan kualifikasi dan deskripsi pekerjaan sebagai berikut.Deskripsi PekerjaanMengumpulkan daftar merchant potensialMeningkatkan penjualan secara efektif (direct selling/ meeting)Melakukan demonstrasi produk berdasarkan kebutuhan merchant (edukasi dan instalasi aplikasi Majoo)Berkoordinasi dengan atasan dan divisi terkait (terkait pembayaran)Penempatan PalembangKualifikasiPendidikan minimal SMA atau sederajatMemiliki pengalaman kerja di bidang sales minimal 1 tahunUsia maksimal 35 tahunMemiliki kendaraan pribadi dan SIM-C (minimal)Aktif dalam komunitas atau organisasi akan menjadi nilai tambahKomunikatif, bisa bekerjasama dalam tim, dan menyukai bekerja di lapanganMempunyai smartphone android dan aktif dalam bersosial mediaKompensasi dan BenefitBPJS Kesehatan dan KetenagakerjaanInsentifJam kerja yang fleksibelFasilitasTools Kit (Tablet, brosur, bluetooth printer, dan lanyard)"
227,227,Sales And Marketing,Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",25 days,1- 50 pekerja,Retail/Merchandise,"Responsibilities“Get the sale” using various customer sales methods (door-to-door, new telephone calling, presentations, walk in visit, etc.)Accomplishes marketing and organization mission by completing related results as needed.Applicants must be willing to work in Kelapa GadingRequirementsCandidate must possess at least Bachelor's Degree in Engineering or Sales Major with proven Sales Engineer experienceProfessional work attitudePassion in sales and marketingLanguage skills: English (full professional proficiency), Mandarin (Plus Value)Have knowledge in HVAC & Cooling tower (plus value)Experience working with industry equipmentComputer use competencyStrong communication, negotiation and interpersonal skillsWilling to send to site for learning about Cooling Tower"
235,235,Regional People & Culture,Jakarta Timur,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR","Asuransi kesehatan;Bisnis (contoh: Kemeja);Communication Allowance, ALL BPJS;Monday-Saturday",27 days,1001 - 2000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Job Purpose:As a representative of the people & culture department at the regional level in charge of HR administration, compensation remuneration, industrial relations, recruitment, training, and implementation of people & culture policies, continuous improvement of the people & culture system is carried out in developing and fostering effective people competencies to meet the needs position competence and conduct needs analysis, placement and appreciation of employees in achieving challenges to the company's objectives.Job Requirement:Have minimum 5 Years Experience in Human ResourcesHave a good communication & can do attitudeMinimum Bachelor Degree in Any MajorHave a good english"
243,243,HR Regional Spv Timur,Surabaya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Kasual (contoh: Kaos);Senin - Jum'at (HO) Senin - Sabtu (DSO),21 days,501 - 1000 pekerja,Industri Berat/Mesin/Peralatan,"Kualifikasi:Pendidikan S1, Diutamakan Psikologi & HukumPengalaman Sebagai HRGA/PGA Supervisor 3 TahunBersedia Perjalanan Luar KotaMemiliki SIM C & AMampu bekerja di bawah tekanan dan memiliki karakter yang baikTugas dan tanggung jawab:Melakukan kontrol dan monitoring GA di AreaHandle dan Melakukan Evaluasi Verdor OutsourchingPenanganan Kejadian darurat dan Fraud di AreaPenanganan dan pengurusan Kendaraan di AreaPenanganan dan Pengurusan Claim Asuransi Pembuatan perjanjian kerja karyawan di AreaHandle 2 area: Jawa Timur & SulkalmapapPenempatan: Surabaya"
260,260,Frontend Developer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Lunch BPJS Career Path",4 days,51 - 200 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"Responsibilities:Your duties will include (but will not be limited to):Performing or directing website updates.Developing, maintaining and optimizing database driven web applications.Evaluating code to ensure it is valid, properly structured, meets standards and is compatible with browsers, devices or operating systems.Working under an Agile development methodology.Researching, learning and evaluating new software.Requirements:Should have a good exposure in OOP.At least 1 year experience in Frontend Development.Minimum possess Associate DegreeProficient in VueJS and/or Angular and/or ReactJS is a must.Must have experience in developing high end web based software applications in various areas related to SAAS (Software As A Service).Must be able to work in a fast paced environment Experienced in Backend Development (PHP Frameworks/NodeJS/Java Springboot) is a plus.Willing to be placed in Bandung."
274,274,Staf Accounting dan Administrasi (Bekasi),Bekasi,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",Asuransi kesehatan;Bisnis (contoh: Kemeja);Monday - Saturday,28 days,501 - 1000 pekerja,Elektrikal & Elektronik,"Pendidikan minimal S1 jurusan Akuntansi.Menguasai MS Office, baik Excel maupun Word.Teliti, Rajin, Ulet, Jujur, Disiplin, Kritis.Diutamakan yang sudah mempunyai pengalaman minimal 1 (satu) tahun di bidang administrasi accounting.Mengawasi, mengatur lalu lintas dan membuat dokumen operasional seperti Sales Order, Invoice, Surat Jalan, dll.Menghandle, mengawasi, dan mengatur kelayakan AR/piutang, stock,  dan retur/klaim.Membuat jurnal accounting untuk transaksi.Menyiapkan data dan laporan untuk pembuatan laporan keuangan.Menghitung campaign, komisi, memeriksa jurnal GL termasuk expenses."
285,285,STAFF HRD,Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Kontrak,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Asuransi kesehatan;Parkir;Bisnis (contoh: Kemeja),26 days,51 - 200 pekerja,Manufaktur/Produksi,"Deskripsi Pekerjaan : Melakukan kegiatan administrarif HRD yang berkaitan dengan sura menyurat, database karyawan, penilaian karyawan dllMengecek kehadiran dan kedisiplinan karyawanMemperbaharui kontrak kerja karyawanMengarsipkan dokumen - dokumen penunjang di divisi HRDMelakukan pekerjaan yang berhubungan dengan bagian HRDKualifikasi :Pendidikan minimal D3Memiliki pengalaman minimal 3 tahun di posisi yang samaMampu bekerja dengan teliti dan cepatMampu mengoperasikan Microsoft officeMemahami flow kerja divisi HRDMenyukai pekerjaan administratifBersedia bekerja Senin - Sabtu"
289,289,Business Development Manager,Jakarta Selatan,IDR,Manajer/Asisten Manajer,3 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",22 days,1- 50 pekerja,Properti/Real Estate,"Melakukan riset pasar, mencari peluang pelanggan baru, dan menjaga hubungan dengan pelanggan.Bekerja sama dengan divisi untuk memenuhi kebutuhan pelanggan / pasar.Mengembangkan dan mempresentasikan rencana pengembangan bisnis Perusahaan.Memperbarui pengetahuan tentang perkembangan pasar dan pesaingMelakukan penelitian secara teratur dalam pengembangan bisnis PerusahaanMembantu meningkatkan bisnis Perusahaan untuk posisi di pasar"
292,292,Staff Accounting,Bandung,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",28 days,201 - 500 pekerja,Manufaktur/Produksi,Kualifikasi:Usia maksimal 30 tahunPendidikan minimal S1 AkuntingMemiliki pengalaman kerja di bidang yang sama minimal 1 tahunPenempatan di Kantor Pusat BandungTeliti dalam bekerja.Mampu menjaga rahasia.  Deskripsi Pekerjaan:Menerima & memeriksa dokumen pembelian (AP).Memeriksa dan memvalidasi utang usaha.Melakukan posting pada AXAPTA.
304,304,Sales Consultant,Badung,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Kontrak,"Penjualan / Pemasaran,Penjualan Ritel",Asuransi kesehatan;Parkir;Bisnis (contoh: Kemeja);Monday - Saturday,16 days,501 - 1000 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,Pengalaman sebagai sales/ marketing (khususnya bidang otomotif - authorized dealer)Memiliki kendaraan sendiri (minimal motor)Bisa mengendarai mobil dan memiliki SIM AMencapai target penjualan yang telah ditetapkan serta menjamin kepuasan pelanggan
340,340,Clinic General Manager,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Sains,Biomedis","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",29 days,51 - 200 pekerja,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,"INTRODUCTIONDalam rangka pengembangan lini bisnis perusahaan, Cahaya Bahari Corporation akan melakukan ekpansi dalam bidang kesehatan. Kandidat yang terpilih akan ditempatkan untuk bekerja pada anak perusahaan yang berfokus dalam pelayanan kesehatan di klinik Trinity Medika Jakarta.KualifikasiKandidat harus memiliki Gelar Sarjana atau setara.Setidaknya memiliki 5 tahun pengalaman dalam bidang Lab/Klinik.Teliti dalam hal-hal operasional, mampu bekerja di bawah tekanan dan target yang diberikan perusahaan.Memiliki komunikasi yang baik dengan rekan dan customer.Berpenampilan baik dan rapi.Info lebih lanjut:www.trinitymedika.comIG: trinitymedikaclinic"
342,342,Senior Admin Property,Bandung,IDR,Supervisor/Koordinator,5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Kontrak,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",14 days,1- 50 pekerja,Properti/Real Estate,"Deskripsi Pekerjaan::1. Melakukan Proses Data EntryTugas pertama dari seorang admin properti adalah melakukan proses data entry. Data yang dimansukkan adalah data yang berkaitan dengan segala hal di dalam proyek. Harus ada pendataan yang jelas dan terorganisir di dalam komputer yang dikelola oleh seorang administrasi proyek baik itu dari segi tanggal, nama data, penanggung jawab, dan banyak hal lain. 2. Melakukan Sesi DokumentasiMelakukan proses dokumentasi. Proses dokumentasi ini harus berjalan secara faktual dan tidak terlambat. Dokumentasi hari itu harus dilakukan hari itu juga agar proses dalam proyek terlihat secara signifikan. 3. Menjaga dan Mengecek Inventory KantorSelanjutnya seorang admin proyek juga memiliki tugas sebagai penjaga inventori dan aset perusahaan.4. Mengecek Biaya Operasional dan Membuat Reiburstment Ke PusatTugas selanjutnya yang harus dilakukan oleh sorang admin proyek adalah melakukan pengecekan dan validasi terhadap semua biaya pengeluaran di dalam kantor selama berada di proyek seperti misalnya biaya listrik (bila ada), biaya internet, pembelian ATK, dsb.5. Membuat Data Absensi dan LemburLebih jauh, seringkali anda juga harus membuat data absensi dan lembur dari karyawan yang bertugas untuk memastikan kalau biaya perusahaan benar benar terintegrasi dengan baik.6. Membuat Laporan Mingguan/BulananHal selanjutnya yang harus anda lakukan adalah membuat laporan bulanan dan mingguan dari segala aktivitas.7. Merapikan Dokumen Dan Membuat Salinan Dari Tiap Dokumen.Kualifikasi:Candidate must possess at least Diploma, Bachelor's Degree, Master's Degree/Post Graduate Degree in Business Studies/Administration/Management, Secretarial or equivalent.At least 5 years of working experience in the related field is required for this position.Preferably Staff (non-management & non-supervisor) specialized in Clerical/Administrative Support or equivalent."
355,355,Manajer Marketing dan Produk,Jakarta Selatan,IDR,Manajer/Asisten Manajer,4 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Transport, Makan",26 days,1- 50 pekerja,Lainnya,"Syarat1.    Berpendidikan minimal S1 semua jurusan, lebih diutamakan marketing.2.    Berpengalaman minimal 5 tahun diposisi Product & Marketing.3. Berpengalaman dalam bidang Distribusi Alat Kesehatan atau Laboratorium/Rumah Sakit.4.    Memiliki kemampuan: komunikasi, leadership, wawasan, ide kreatif dan presentasi yang baik.5.    Memiliki pengetahuan luar biasa tentang analisis web dan Google Ads.6.    Memiliki kemampuan luar biasa untuk merencanakan dan mengelola anggaran.7.    Pengalaman pemasaran yang kuat dan strategis, pengalaman dalam menjalankan kampanye pemasaran yang sukses.8.    Memiliki kemampuan networking yang baik dengan pemerintah dan institusi lain (lokal & luar negeri)9.    Memiliki pengetahuan tentang semua Industri di Indonesia terutama Alat Kesehatan dan memiliki jaringan yang luas10. Memiliki kemampuan analitis dalam situasi pasar dan riset pasar11. Kemampuan membuat dan koordinasikan pertemuan pencocokan B2BJobDeskMendefinisikan strategi dan melakukan riset market untuk perkembangan produk yang didistribusikanMelakukan komunikasi serta kerjasama dengan tim lain dalam perusahaan misalnya teknisi, keuangan, pelayanan dan lainnya.Mengarahkan pencarian vendor atau supplier baru untuk didistribusikan atau menjalin keagenan.Mengamati, menganalisa, mengontrol serta membuat laporan terkait produk yang didistribusikan perusahaanMelakukan koordinasi dengan para pemegang saham atau stakeholderMengevaluasi dan mengarahkan tim procurement, distribusi, pengembangan produk serta pemasaran.Mengembangkan dan menerapkan strategi pemasaran secara langsung atau online untuk memenuhi target.Melakukan evaluasi desain dan konten pemasaranMembantu penyusunan anggaran pemasaran bulanan dan anggaran pemasaran tahunanMembuat konten bisnis untuk kampanye pemasaran digital, termasuk rencana & posting media sosial, dan konten situs web dan pastikan pengembangan strategi sesuai dengan ruang lingkup bisnis."
374,374,Sales Fronting Bank,Sulawesi Selatan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Paruh Waktu,"Akuntansi / Keuangan,Perbankan / Jasa Finansial ","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",23 days,51 - 200 pekerja,Perbankan/Pelayanan Keuangan,"DESKRIPSI PEKERJAANWilayah Penempatan: SELURUH INDONESIAPersyaratan:Pendidikan minimal SMA/SMK/SederajatMampu berkomunikasi dengan baik dan bekerja dalam timMemiliki pengalaman kerja sales/marketing minimal 1 tahun (nilai lebih untuk pengalaman kredit pensiun)Memiliki kendaraan pribadiBerorientasi dan bekerja sensuai targetBerkarakter jujur, ulet, dan pekerja kerasDeskripsi Pekerjaan:Menjelaskan dan menawarkan produk ke calon debiturMemberikan simulasi perhitungan ke calon debiturMelakukan komunikasi dan menjaga hubungan dengan mitra Bank dan DebiturMembuat dan melaporkan kegiatan harian (kanvasing dan penjualan produk)"
380,380,Financial Advisor - Samarinda,Samarinda,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",27 days,501 - 1000 pekerja,Perbankan/Pelayanan Keuangan,"Financial Advisor (FA) adalah perencana keuangan nasabah. Dimana FA bertugas untuk merencanakan, dan memasarkan produk asuransi sesuai dengan kebutuhan nasabah. FA juga berperan dalam pelayanan klaim ataupun komplain asuransi dari nasabah AXA Mandiri. FA akan ditempatkan di cabang Bank Mandiri area Samarinda & Sekitarnya  KUALIFIKASIPendidikan minimal D3KomunikatifPengalaman minimal 2 tahun sebagai tenaga pemasar asuransi diutamakanLulusan baru dipersilahkan melamarBerpenampilan rapiSiap bekerja dengan targetSuka tantanganBerkemauan tinggiLamar langsung melalui talent portal AXA Mandiri di: https://career-sales.axa-mandiri.co.id/auth/signin BENEFITTunjangan BulananJenjang KarirKomisi sesuai dengan pencapaianTunjangan KesehatanTraining berkelanjutanJalan-jalan luar kota / luar negeri gratis*"
